,Glucose_input,Lactate_output,Glutamate_input,Ammonia_output
0,100.0,200.0,0.0,0.0
1,100.0,199.30741,0.36768193,0.2786468
2,100.0,198.61482,0.73536386,0.5572936
3,100.0,197.92223,1.1030458,0.83594039
4,100.0,197.22964,1.4707277,1.1145872
5,100.0,196.53704,1.8384096,1.393234
6,100.0,195.84445,2.2060916,1.6718808
7,100.0,195.15186,2.5737735,1.9505276
8,100.0,194.45927,2.9414554,2.2291744
9,100.0,193.76668,3.3091374,2.5078212
10,100.0,193.07409,3.6768193,2.786468
11,100.0,192.3815,4.0445012,3.0651148
12,100.0,191.68891,4.4121831,3.3437616
13,100.0,190.99632,4.7798651,3.6224084
14,100.0,190.30373,5.147547,3.9010552
15,100.0,189.61113,5.5152289,4.179702
16,100.0,188.91854,5.8829108,4.4583488
17,100.0,188.22595,6.2505928,4.7369956
18,100.0,187.53336,6.6182747,5.0156424
19,100.0,186.84077,6.9859566,5.2942892
20,100.0,186.14818,7.3536386,5.572936
21,100.0,185.45559,7.7213205,5.8515828
22,100.0,184.763,8.0890024,6.1302296
23,100.0,184.07041,8.4566843,6.4088764
24,100.0,183.37782,8.8243663,6.6875231
25,100.0,182.68522,9.1920482,6.9661699
26,100.0,181.99263,9.5597301,7.2448167
27,100.0,181.30004,9.9274121,7.5234635
28,100.0,180.60745,10.295094,7.8021103
29,100.0,179.91486,10.662776,8.0807571
30,100.0,179.22227,11.030458,8.3594039
31,100.0,178.52968,11.39814,8.6380507
32,100.0,177.83709,11.765822,8.9166975
33,100.0,177.1445,12.133504,9.1953443
34,100.0,176.45191,12.501186,9.4739911
35,100.0,175.75931,12.868867,9.7526379
36,100.0,175.06672,13.236549,10.031285
37,100.0,174.37413,13.604231,10.309932
38,100.0,173.68154,13.971913,10.588578
39,100.0,172.98895,14.339595,10.867225
40,100.0,172.29636,14.707277,11.145872
41,100.0,171.60377,15.074959,11.424519
42,100.0,170.91118,15.442641,11.703166
43,100.0,170.21859,15.810323,11.981812
44,100.0,169.526,16.178005,12.260459
45,100.0,168.8334,16.545687,12.539106
46,100.0,168.14081,16.913369,12.817753
47,100.0,167.44822,17.281051,13.096399
48,100.0,166.75563,17.648733,13.375046
49,100.0,166.06304,18.016414,13.653693
50,100.0,165.37045,18.384096,13.93234
51,100.0,164.67786,18.751778,14.210987
52,100.0,163.98527,19.11946,14.489633
53,100.0,163.29268,19.487142,14.76828
54,100.0,162.60009,19.854824,15.046927
55,100.0,161.90749,20.222506,15.325574
56,100.0,161.2149,20.590188,15.604221
57,100.0,160.52231,20.95787,15.882867
58,100.0,159.82972,21.325552,16.161514
59,100.0,159.13713,21.693234,16.440161
60,100.0,158.44454,22.060916,16.718808
61,100.0,157.75195,22.428598,16.997455
62,100.0,157.05936,22.79628,17.276101
63,100.0,156.36677,23.163961,17.554748
64,100.0,155.67418,23.531643,17.833395
65,100.0,154.98158,23.899325,18.112042
66,100.0,154.28899,24.267007,18.390689
67,100.0,153.5964,24.634689,18.669335
68,100.0,152.90381,25.002371,18.947982
69,100.0,152.21122,25.370053,19.226629
70,100.0,151.51863,25.737735,19.505276
71,100.0,150.82604,26.105417,19.783923
72,100.0,150.13345,26.473099,20.062569
73,100.0,149.44086,26.840781,20.341216
74,100.0,148.74827,27.208463,20.619863
75,100.0,148.05567,27.576145,20.89851
76,100.0,147.36308,27.943827,21.177157
77,100.0,146.67049,28.311508,21.455803
78,100.0,145.9779,28.67919,21.73445
79,100.0,145.28531,29.046872,22.013097
80,100.0,144.59272,29.414554,22.291744
81,100.0,143.90013,29.782236,22.570391
82,100.0,143.20754,30.149918,22.849037
83,100.0,142.51495,30.5176,23.127684
84,100.0,141.82236,30.885282,23.406331
85,100.0,141.12976,31.252964,23.684978
86,100.0,140.43717,31.620646,23.963625
87,100.0,139.74458,31.988328,24.242271
88,100.0,139.05199,32.35601,24.520918
89,100.0,138.3594,32.723692,24.799565
90,100.0,137.66681,33.091374,25.078212
91,100.0,136.97422,33.459055,25.356859
92,100.0,136.28163,33.826737,25.635505
93,100.0,135.58904,34.194419,25.914152
94,100.0,134.89645,34.562101,26.192799
95,100.0,134.20385,34.929783,26.471446
96,100.0,133.51126,35.297465,26.750093
97,100.0,132.81867,35.665147,27.028739
98,100.0,132.12608,36.032829,27.307386
99,100.0,131.43349,36.400511,27.586033
100,100.0,130.7409,36.768193,27.86468
101,100.0,130.04831,37.135875,28.143327
102,100.0,129.35572,37.503557,28.421973
103,100.0,128.66313,37.871239,28.70062
104,100.0,127.97054,38.238921,28.979267
105,100.0,127.27794,38.606602,29.257914
106,100.0,126.58535,38.974284,29.536561
107,100.0,125.89276,39.341966,29.815207
108,100.0,125.20017,39.709648,30.093854
109,100.0,124.50758,40.07733,30.372501
110,100.0,123.81499,40.445012,30.651148
111,100.0,123.1224,40.812694,30.929795
112,100.0,122.42981,41.180376,31.208441
113,100.0,121.73722,41.548058,31.487088
114,100.0,121.04462,41.91574,31.765735
115,100.0,120.35203,42.283422,32.044382
116,100.0,119.65944,42.651104,32.323029
117,100.0,118.96685,43.018786,32.601675
118,100.0,118.27426,43.386468,32.880322
119,100.0,117.58167,43.754149,33.158969
120,100.0,116.88908,44.121831,33.437616
121,100.0,116.19649,44.489513,33.716263
122,100.0,115.5039,44.857195,33.994909
123,100.0,114.81131,45.224877,34.273556
124,100.0,114.11871,45.592559,34.552203
125,100.0,113.42612,45.960241,34.83085
126,100.0,112.73353,46.327923,35.109497
127,100.0,112.04094,46.695605,35.388143
128,100.0,111.34835,47.063287,35.66679
129,100.0,110.65576,47.430969,35.945437
130,100.0,109.96317,47.798651,36.224084
131,100.0,109.27058,48.166333,36.502731
132,100.0,108.57799,48.534015,36.781377
133,100.0,107.8854,48.901696,37.060024
134,100.0,107.1928,49.269378,37.338671
135,100.0,106.50021,49.63706,37.617318
136,100.0,105.80762,50.004742,37.895965
137,100.0,105.11503,50.372424,38.174611
138,100.0,104.42244,50.740106,38.453258
139,100.0,103.72985,51.107788,38.731905
140,100.0,103.03726,51.47547,39.010552
141,100.0,102.34467,51.843152,39.289198
142,100.0,101.65208,52.210834,39.567845
143,100.0,100.95949,52.578516,39.846492
144,100.0,100.26689,52.946198,40.125139
145,100.0,99.574304,53.31388,40.403786
146,100.0,98.881713,53.681561,40.682432
147,100.0,98.189122,54.049243,40.961079
148,100.0,97.496531,54.416925,41.239726
149,100.0,96.80394,54.784607,41.518373
150,100.0,96.111349,55.152289,41.79702
151,100.0,95.418758,55.519971,42.075666
152,100.0,94.726167,55.887653,42.354313
153,100.0,94.033576,56.255335,42.63296
154,100.0,93.340985,56.623017,42.911607
155,100.0,92.648394,56.990699,43.190254
156,100.0,91.955803,57.358381,43.4689
157,100.0,91.263212,57.726063,43.747547
158,100.0,90.570621,58.093745,44.026194
159,100.0,89.87803,58.461427,44.304841
160,100.0,89.185439,58.829108,44.583488
161,100.0,88.492848,59.19679,44.862134
162,100.0,87.800257,59.564472,45.140781
163,100.0,87.107666,59.932154,45.419428
164,100.0,86.415075,60.299836,45.698075
165,100.0,85.722484,60.667518,45.976722
166,100.0,85.029893,61.0352,46.255368
167,100.0,84.337302,61.402882,46.534015
168,100.0,83.644711,61.770564,46.812662
169,100.0,82.95212,62.138246,47.091309
170,100.0,82.259529,62.505928,47.369956
171,100.0,81.566937,62.87361,47.648602
172,100.0,80.874346,63.241292,47.927249
173,100.0,80.181755,63.608974,48.205896
174,100.0,79.489164,63.976655,48.484543
175,100.0,78.796573,64.344337,48.76319
176,100.0,78.103982,64.712019,49.041836
177,100.0,77.411391,65.079701,49.320483
178,100.0,76.7188,65.447383,49.59913
179,100.0,76.026209,65.815065,49.877777
180,100.0,75.333618,66.182747,50.156424
181,100.0,74.641027,66.550429,50.43507
182,100.0,73.948436,66.918111,50.713717
183,100.0,73.255845,67.285793,50.992364
184,100.0,72.563254,67.653475,51.271011
185,100.0,71.870663,68.021157,51.549658
186,100.0,71.178072,68.388839,51.828304
187,100.0,70.485481,68.756521,52.106951
188,100.0,69.79289,69.124202,52.385598
189,100.0,69.100299,69.491884,52.664245
190,100.0,68.407708,69.859566,52.942892
191,100.0,67.715117,70.227248,53.221538
192,100.0,67.022526,70.59493,53.500185
193,100.0,66.329935,70.962612,53.778832
194,100.0,65.637344,71.330294,54.057479
195,100.0,64.944753,71.697976,54.336126
196,100.0,64.252162,72.065658,54.614772
197,100.0,63.559571,72.43334,54.893419
198,100.0,62.86698,72.801022,55.172066
199,100.0,62.174389,73.168704,55.450713
200,100.0,61.481798,73.536386,55.72936
201,100.0,60.789207,73.904068,56.008006
202,100.0,60.096616,74.271749,56.286653
203,100.0,59.404025,74.639431,56.5653
204,100.0,58.711434,75.007113,56.843947
205,100.0,58.018843,75.374795,57.122594
206,100.0,57.326252,75.742477,57.40124
207,100.0,56.633661,76.110159,57.679887
208,100.0,55.94107,76.477841,57.958534
209,100.0,55.248479,76.845523,58.237181
210,100.0,54.555888,77.213205,58.515828
211,100.0,53.863297,77.580887,58.794474
212,100.0,53.170706,77.948569,59.073121
213,100.0,52.478115,78.316251,59.351768
214,100.0,51.785524,78.683933,59.630415
215,100.0,51.092933,79.051615,59.909062
216,100.0,50.400342,79.419296,60.187708
217,100.0,49.707751,79.786978,60.466355
218,100.0,49.01516,80.15466,60.745002
219,100.0,48.322569,80.522342,61.023649
220,100.0,47.629978,80.890024,61.302296
221,100.0,46.937387,81.257706,61.580942
222,100.0,46.244796,81.625388,61.859589
223,100.0,45.552205,81.99307,62.138236
224,100.0,44.859614,82.360752,62.416883
225,100.0,44.167023,82.728434,62.69553
226,100.0,43.474432,83.096116,62.974176
227,100.0,42.781841,83.463798,63.252823
228,100.0,42.08925,83.83148,63.53147
229,100.0,41.396659,84.199162,63.810117
230,100.0,40.704068,84.566843,64.088764
231,100.0,40.011477,84.934525,64.36741
232,100.0,39.318886,85.302207,64.646057
233,100.0,38.626295,85.669889,64.924704
234,100.0,37.933704,86.037571,65.203351
235,100.0,37.241113,86.405253,65.481997
236,100.0,36.548522,86.772935,65.760644
237,100.0,35.855931,87.140617,66.039291
238,100.0,35.16334,87.508299,66.317938
239,100.0,34.470749,87.875981,66.596585
240,100.0,33.778158,88.243663,66.875231
241,100.0,33.085567,88.611345,67.153878
242,100.0,32.392976,88.979027,67.432525
243,100.0,31.700385,89.346709,67.711172
244,100.0,31.007794,89.71439,67.989819
245,100.0,30.315203,90.082072,68.268465
246,100.0,29.622612,90.449754,68.547112
247,100.0,28.930021,90.817436,68.825759
248,100.0,28.23743,91.185118,69.104406
249,100.0,27.544839,91.5528,69.383053
250,100.0,26.852248,91.920482,69.661699
251,100.0,26.159657,92.288164,69.940346
252,100.0,25.467066,92.655846,70.218993
253,100.0,24.774475,93.023528,70.49764
254,100.0,24.081884,93.39121,70.776287
255,100.0,23.389293,93.758892,71.054933
256,100.0,22.696702,94.126574,71.33358
257,100.0,22.004111,94.494256,71.612227
258,100.0,21.31152,94.861937,71.890874
259,100.0,20.618929,95.229619,72.169521
260,100.0,19.926338,95.597301,72.448167
261,100.0,19.233747,95.964983,72.726814
262,100.0,18.541156,96.332665,73.005461
263,100.0,17.848565,96.700347,73.284108
264,100.0,17.155974,97.068029,73.562755
265,100.0,16.463383,97.435711,73.841401
266,100.0,15.770792,97.803393,74.120048
267,100.0,15.078201,98.171075,74.398695
268,100.0,14.38561,98.538757,74.677342
269,100.0,13.693019,98.906439,74.955989
270,100.0,13.000428,99.274121,75.234635
271,100.0,12.307837,99.641802,75.513282
272,100.0,11.615246,100.00948,75.791929
273,100.0,10.922655,100.37717,76.070576
274,100.0,10.230064,100.74485,76.349223
275,100.0,9.5374726,101.11253,76.627869
276,100.0,8.8448816,101.48021,76.906516
277,100.0,8.1522906,101.84789,77.185163
278,100.0,7.4596996,102.21558,77.46381
279,100.0,6.7671086,102.58326,77.742457
280,100.0,6.0745175,102.95094,78.021103
281,100.0,5.3819265,103.31862,78.29975
282,100.0,4.6893355,103.6863,78.578397
283,100.0,3.9967445,104.05399,78.857044
284,100.0,3.3041535,104.42167,79.135691
285,100.0,2.6115625,104.78935,79.414337
286,100.0,1.9189715,105.15703,79.692984
287,100.0,1.2263805,105.52471,79.971631
288,100.0,0.53378947,105.8924,80.250278
289,100.0,0.0,106.41888,80.687726
290,100.0,0.0,107.47915,81.658964
291,100.0,0.0,108.53942,82.630202
292,100.0,0.0,109.5997,83.60144
293,100.0,0.0,110.65997,84.572677
294,100.0,0.0,111.72024,85.543915
295,100.0,0.0,112.78052,86.515153
296,100.0,0.0,113.84079,87.486391
297,100.0,0.0,114.90106,88.457629
298,100.0,0.0,115.96134,89.428866
299,100.0,0.0,117.02161,90.400104
300,100.0,0.0,118.08188,91.371342
301,100.0,0.0,119.14215,92.34258
302,100.0,0.0,120.20243,93.313818
303,100.0,0.0,121.2627,94.285055
304,100.0,0.0,122.32297,95.256293
305,100.0,0.0,123.38325,96.227531
306,100.0,0.0,124.44352,97.198769
307,100.0,0.0,125.50379,98.170007
308,100.0,0.0,126.56406,99.141244
309,100.0,0.0,127.62434,100.11248
310,100.0,0.0,128.68461,101.08372
311,100.0,0.0,129.74488,102.05496
312,100.0,0.0,130.80516,103.0262
313,100.0,0.0,131.86543,103.99743
314,100.0,0.0,132.9257,104.96867
315,100.0,0.0,133.98598,105.93991
316,100.0,0.0,135.04625,106.91115
317,100.0,0.0,136.10652,107.88238
318,100.0,0.0,137.16679,108.85362
319,100.0,0.0,138.22707,109.82486
320,100.0,0.0,139.28734,110.7961
321,100.0,0.0,140.34761,111.76734
322,100.0,0.0,141.40789,112.73857
323,100.0,0.0,142.46816,113.70981
324,100.0,0.0,143.52843,114.68105
325,100.0,0.0,144.5887,115.65229
326,100.0,0.0,145.64898,116.62352
327,100.0,0.0,146.70925,117.59476
328,100.0,0.0,147.76952,118.566
329,100.0,0.0,148.8298,119.53724
330,100.0,0.0,149.89007,120.50848
331,100.0,0.0,150.95034,121.47971
332,100.0,0.0,152.01062,122.45095
333,100.0,0.0,153.07089,123.42219
334,100.0,0.0,154.13116,124.39343
335,100.0,0.0,155.19143,125.36467
336,100.0,0.0,156.25171,126.3359
337,100.0,0.0,157.31198,127.30714
338,100.0,0.0,158.37225,128.27838
339,100.0,0.0,159.43253,129.24962
340,100.0,0.0,160.4928,130.22085
341,100.0,0.0,161.55307,131.19209
342,100.0,0.0,162.61334,132.16333
343,100.0,0.0,163.67362,133.13457
344,100.0,0.0,164.73389,134.10581
345,100.0,0.0,165.79416,135.07704
346,100.0,0.0,166.85444,136.04828
347,100.0,0.0,167.91471,137.01952
348,100.0,0.0,168.97498,137.99076
349,100.0,0.0,170.03525,138.96199
350,100.0,0.0,171.09553,139.93323
351,100.0,0.0,172.1558,140.90447
352,100.0,0.0,173.21607,141.87571
353,100.0,0.0,174.27635,142.84695
354,100.0,0.0,175.33662,143.81818
355,100.0,0.0,176.39689,144.78942
356,100.0,0.0,177.45717,145.76066
357,100.0,0.0,178.51744,146.7319
358,100.0,0.0,179.57771,147.70313
359,100.0,0.0,180.63798,148.67437
360,100.0,0.0,181.69826,149.64561
361,100.0,0.0,182.75853,150.61685
362,100.0,0.0,183.8188,151.58809
363,100.0,0.0,184.87908,152.55932
364,100.0,0.0,185.93935,153.53056
365,100.0,0.0,186.99962,154.5018
366,100.0,0.0,188.05989,155.47304
367,100.0,0.0,189.12017,156.44428
368,100.0,0.0,190.18044,157.41551
369,100.0,0.0,191.24071,158.38675
370,100.0,0.0,192.30099,159.35799
371,100.0,0.0,193.36126,160.32923
372,100.0,0.0,194.42153,161.30046
373,100.0,0.0,195.48181,162.2717
374,100.0,0.0,196.54208,163.24294
375,100.0,0.0,197.60235,164.21418
376,100.0,0.0,198.66262,165.18542
377,100.0,0.0,199.7229,166.15665
378,100.0,0.0,200.78317,167.12789
379,100.0,0.0,201.84344,168.09913
380,100.0,0.0,202.90372,169.07037
381,100.0,0.0,203.96399,170.0416
382,100.0,0.0,205.02426,171.01284
383,100.0,0.0,206.08453,171.98408
384,100.0,0.0,207.14481,172.95532
385,100.0,0.0,208.20508,173.92656
386,100.0,0.0,209.26535,174.89779
387,100.0,0.0,210.32563,175.86903
388,100.0,0.0,211.3859,176.84027
389,100.0,0.0,212.44617,177.81151
390,100.0,0.0,213.50645,178.78274
391,100.0,0.0,214.56672,179.75398
392,100.0,0.0,215.62699,180.72522
393,100.0,0.0,216.68726,181.69646
394,100.0,0.0,217.74754,182.6677
395,100.0,0.0,218.80781,183.63893
396,100.0,0.0,219.86808,184.61017
397,100.0,0.0,220.92836,185.58141
398,100.0,0.0,221.98863,186.55265
399,100.0,0.0,223.0489,187.52388
400,100.0,0.0,224.10917,188.49512
401,100.0,0.0,225.16945,189.46636
402,100.0,0.0,226.22972,190.4376
403,100.0,0.0,227.28999,191.40884
404,100.0,0.0,227.824,191.898
405,100.0,0.0,227.824,191.898
406,100.0,0.0,227.824,191.898
407,100.0,0.0,227.824,191.898
408,100.0,0.0,227.824,191.898
409,100.0,0.0,227.824,191.898
410,100.0,0.0,227.824,191.898
411,100.0,0.0,227.824,191.898
412,100.0,0.0,227.824,191.898
413,100.0,0.0,227.824,191.898
414,100.0,0.0,227.824,191.898
415,100.0,0.0,227.824,191.898
416,100.0,0.0,227.824,191.898
417,100.0,0.0,227.824,191.898
418,100.0,0.0,227.824,191.898
419,100.0,0.0,227.824,191.898
420,100.0,0.0,227.824,191.898
421,100.0,0.0,227.824,191.898
422,100.0,0.0,227.824,191.898
423,100.0,0.0,227.824,191.898
424,100.0,0.0,227.824,191.898
425,100.0,0.0,227.824,191.898
426,100.0,0.0,227.824,191.898
427,100.0,0.0,227.824,191.898
428,100.0,0.0,227.824,191.898
429,100.0,0.0,227.824,191.898
430,100.0,0.0,227.824,191.898
431,100.0,0.0,227.824,191.898
432,100.0,0.0,227.824,191.898
433,100.0,0.0,227.824,191.898
434,100.0,0.0,227.824,191.898
435,100.0,0.0,227.824,191.898
436,100.0,0.0,227.824,191.898
437,100.0,0.0,227.824,191.898
438,100.0,0.0,227.824,191.898
439,100.0,0.0,227.824,191.898
440,100.0,0.0,227.824,191.898
441,100.0,0.0,227.824,191.898
442,100.0,0.0,227.824,191.898
443,100.0,0.0,227.824,191.898
444,100.0,0.0,227.824,191.898
445,100.0,0.0,227.824,191.898
446,100.0,0.0,227.824,191.898
